"OrderLineID","OrderID","CustomerID","ProductID","OrderDate","Qty","UnitDiscountPercent","ExtRevenue"
1,79189,32726,7992,2011-01-01,1,"NULL",149.86
1,79449,14145,791,2011-01-01,1,"NULL",157.26
1,52,49042,4481,2011-01-01,1,"0.16",218.8284
1,49,57665,6089,2011-01-01,1,"NULL",67.8
1,50,59199,7862,2011-01-01,1,"NULL",454.52
1,72548,21589,2848,2011-01-01,1,"NULL",73.79
1,16404,43464,5225,2011-01-01,1,"NULL",69.4
1,57,55414,7460,2011-01-01,1,"NULL",238.77
2,56,52774,5981,2011-01-01,1,"0.1",274.077
2,57,55414,4499,2011-01-01,1,"NULL",337.25
1,58,56297,773,2011-01-01,1,"NULL",365.13
1,90143,43032,2190,2011-01-01,1,"NULL",14.24
1,84929,46449,1296,2011-01-01,3,"NULL",1120.59
1,55,51826,2944,2011-01-01,1,"0.28000000000000003",204.8688
1,63427,44189,6910,2011-01-01,1,"NULL",481.07
1,56,52774,2908,2011-01-01,3,"0.1",493.047
2,63427,44189,6773,2011-01-01,1,"NULL",318.74
1,76392,35718,4418,2011-01-01,1,"NULL",323.02
1,54,49386,6748,2011-01-01,1,"0.11",73.4072
1,87036,5677,7057,2011-01-01,4,"NULL",841.36
1,53,51815,4161,2011-01-01,4,"NULL",741.48
1,64711,25802,1690,2011-01-01,1,"0.05",81.2535
1,90204,34395,3065,2011-01-01,1,"NULL",113.74
2,80962,23003,5683,2011-01-01,1,"NULL",229.73
2,64711,25802,1652,2011-01-01,1,"0.05",61.4365
2,90204,34395,1941,2011-01-01,1,"NULL",156.09
1,77423,48722,3008,2011-01-01,1,"NULL",83.1
1,79077,15645,4373,2011-01-01,1,"NULL",335.89
1,72433,9946,3486,2011-01-01,1,"NULL",262.7
1,93737,5561,4788,2011-01-01,2,"NULL",587.76
1,80962,23003,3380,2011-01-01,1,"NULL",378.01
2,79077,15645,1449,2011-01-01,1,"NULL",209.96
2,90043,11013,6291,2011-01-01,1,"NULL",13.48
1,71389,33065,2275,2011-01-01,1,"NULL",429.12
1,80197,32373,1471,2011-01-01,1,"NULL",86.86
1,90043,11013,1333,2011-01-01,1,"NULL",438.47
1,88645,23187,12,2011-01-01,1,"NULL",78.01
1,95407,31290,5564,2011-01-01,2,"NULL",23.88
2,88645,23187,1541,2011-01-01,1,"NULL",336.76
1,82751,39163,2190,2011-01-01,1,"0.13",12.3888
1,1099,62901,3272,2011-01-02,1,"NULL",227
1,1098,59235,4470,2011-01-02,1,"NULL",333.54
1,63708,29816,1558,2011-01-02,2,"NULL",557.26
1,1101,62450,1149,2011-01-02,3,"NULL",57.81
1,1100,62983,6694,2011-01-02,1,"NULL",267.2
1,73328,15931,6711,2011-01-02,1,"NULL",44.69
1,73794,752,647,2011-01-02,1,"NULL",445.72
1,86731,48224,3242,2011-01-02,1,"NULL",372.78
1,1097,55928,7026,2011-01-02,1,"NULL",43.75
1,16286,39253,5489,2011-01-02,1,"NULL",215.47
1,1096,58974,4387,2011-01-02,1,"NULL",168.17
3,93565,34438,691,2011-01-02,1,"NULL",267.63
1,16600,41827,859,2011-01-02,1,"NULL",390.33
2,1103,49307,153,2011-01-02,1,"0.03",240.5988
1,83742,48653,1545,2011-01-02,1,"NULL",308.43
